bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income,nco_ratio,nco_ratio_next_q,high_risk_next_q,reserve_coverage_ratio,npa_ratio,capital_ratio,equity_to_assets,roa,total_loans_lag1,deposits_lag1,nco_ratio_lag1,npa_ratio_lag1,loan_growth_qoq,deposit_growth_qoq,coralacbn
10250,PEOPLES STATE BANK OF VELVA,2025-12-31,189075,137574,1.326180042030368,0.2094345983087439,-0.00314968566137099,165951,12.774462415127504,12.774462415127504,17325,2464,-0.00314968566137099,NA,0,1.326180042030368,0.2094345983087439,12.774462415127504,0.09163030543435145,0.013031865661774429,NA,NA,NA,NA,NA,NA,0.61
10253,FIRST SECURITY BANK WEST,2025-12-31,70374,29930,0.5515683147262095,3.741360978203084,0.41442332471982896,61956,36.42101212237829,36.42101212237829,8327,1129,0.41442332471982896,NA,0,0.5515683147262095,3.741360978203084,36.42101212237829,0.11832494955523347,0.016042856736863047,NA,NA,NA,NA,NA,NA,0.61
10255,OLD FORT BANKING CO,2025-12-31,845174,478086,1.0640939680647643,0.14009949754567202,0.00762459126744669,781594,14.592220927874813,14.592220927874813,58517,10004,0.00762459126744669,NA,0,1.0640939680647643,0.14009949754567202,14.592220927874813,0.06923663056364725,0.011836615892112157,NA,NA,NA,NA,NA,NA,0.61
10266,CITIZENS BANK CO,2025-12-31,331106,185619,2.9036982790186747,0.3049641680179945,-0.01576255691045749,289092,0,0,39712,3717,-0.01576255691045749,NA,0,2.9036982790186747,0.3049641680179945,0,0.11993742185282055,0.011226012213611351,NA,NA,NA,NA,NA,NA,0.61
1027,FM BANK&TRUST,2025-12-31,586303,459349,1.2360835780846189,1.5474158134414682,0.8824760027857622,534263,11.076523275313956,11.076523275313956,46240,10705,0.8824760027857622,NA,0,1.2360835780846189,1.5474158134414682,11.076523275313956,0.07886707043968733,0.018258477271990762,NA,NA,NA,NA,NA,NA,0.61
1028,FBT BANK&MORTGAGE,2025-12-31,246823,150440,1.5863670558989955,0.9505118895757696,0.02798343380718615,217660,0,0,16746,1977,0.02798343380718615,NA,0,1.5863670558989955,0.9505118895757696,0,0.06784618937457206,0.008009788390871192,NA,NA,NA,NA,NA,NA,0.61
10280,FARMERS&MERCHANTS BANK,2025-12-31,133594,79337,2.0796820616622647,4.118634444965565,0.3081610053564897,114211,0,0,19183,1468,0.3081610053564897,NA,0,2.0796820616622647,4.118634444965565,0,0.14359177807386558,0.0109885174483884,NA,NA,NA,NA,NA,NA,0.61
10307,BUILTWELL BANK,2025-12-31,2304592,1541269,1.4041538645576852,0.4944924543522053,0.00893127924265858,2031095,11.945989584276392,11.945989584276392,253257,47780,0.00893127924265858,NA,0,1.4041538645576852,0.4944924543522053,11.945989584276392,0.10989233669126683,0.020732520116358993,NA,NA,NA,NA,NA,NA,0.61
10308,BANK OF FAYETTE COUNTY,2025-12-31,1095717,888187,1.136688709582268,0.7572359274665266,0.16526531582387544,947061,0,0,100577,10551,0.16526531582387544,NA,0,1.136688709582268,0.7572359274665266,0,0.09179103728426227,0.009629311218133879,NA,NA,NA,NA,NA,NA,0.61
10315,BANK OF HALLS,2025-12-31,139498,56264,1.6174439140394132,0.27627690639808355,0.00184170881110329,128025,12.996131598413834,12.996131598413834,10372,1327,0.00184170881110329,NA,0,1.6174439140394132,0.27627690639808355,12.996131598413834,0.07435232046337582,0.00951268118539334,NA,NA,NA,NA,NA,NA,0.61
10317,CITIZENS B&T GRAINGER CNTY,2025-12-31,272647,112040,1.130417133629248,0.48711183275827075,-0.00736069426068266,242087,0,0,29337,3011,-0.00736069426068266,NA,0,1.130417133629248,0.48711183275827075,0,0.10760067046400658,0.011043583828173425,NA,NA,NA,NA,NA,NA,0.61
10319,CITIZENS SAVINGS B&T CO,2025-12-31,183374,157170,1.0918473301658225,3.1584909222491424,0.38762724148293304,164800,14.532021721858642,14.532021721858642,17553,300,0.38762724148293304,NA,0,1.0918473301658225,3.1584909222491424,14.532021721858642,0.0957224033941562,0.0016360007416536696,NA,NA,NA,NA,NA,NA,0.61
10327,CITIZENS STB OF LULING,2025-12-31,63133,50931,2.281273983115886,7.34842670759785,0.00360331793515469,51409,0,0,11582,604,0.00360331793515469,NA,0,2.281273983115886,7.34842670759785,0,0.1834539781097049,0.009567104366971314,NA,NA,NA,NA,NA,NA,0.61
10330,COMMERCIAL STATE BANK,2025-12-31,120357,42946,1.7838357041577095,5.177697479760326,1.2607854464097414,107794,25.50443749635873,25.50443749635873,12148,1865,1.2607854464097414,NA,0,1.7838357041577095,5.177697479760326,25.50443749635873,0.10093305748730859,0.015495567353789144,NA,NA,NA,NA,NA,NA,0.61
10344,SCHERTZ BANK&TRUST,2025-12-31,770199,609279,1.3896239469787088,0.06894710009468089,0.14884523107019254,658082,0,0,106465,13251,0.14884523107019254,NA,0,1.3896239469787088,0.06894710009468089,0,0.13823050925799696,0.01720464451395029,NA,NA,NA,NA,NA,NA,0.61
