bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income
6137,BANK OF BOTETOURT,2025-12-31,925507,752105,1.101148092189265,0.09257323344891838,0.11651862986371088,825470,0,0,93517,10802
6156,FARMERS STATE BANK,2025-12-31,50097,3577,5.917937927406628,0,0,44392,0,0,5637,512
6158,PEOPLES BANK,2025-12-31,2464280,1946307,1.4983453218841112,0.07520574033370903,0.01594822292608852,2132934,0,0,314011,24480
6161,KITSAP BANK,2025-12-31,1653440,888078,1.0381170366639405,1.1143377379389e-4,-0.01382464209537686,1434949,14.809588322624403,14.809588322624403,146187,15363
6176,PENDLETON COMMUNITY BANK INC,2025-12-31,814284,676220,0.9008348879708428,0.6514089925216195,0.27355170173632526,699359,10.541538244827528,10.541538244827528,69854,7991
6180,BANK OF MONROE,2025-12-31,252222,151516,1.2513360619411351,0.3239135535337209,0.0027265824061817,222677,21.10730728367371,21.10730728367371,28545,2895
6186,CITIZENS STATE BANK OF LOYAL,2025-12-31,309367,176761,1.057928587021623,0.0212705218554612,0.04266442812946462,244876,16.652089016646887,16.652089016646887,30688,3048
6194,CITIZENS STATE BANK,2025-12-31,477749,400085,1.2065061448844483,0.26298179375807157,0.15797966287088736,400823,0,0,44800,4933
6195,STERLING BANK,2025-12-31,353458,251753,0.8908887629125725,0.03543083900226757,0,317972,13.012314519255357,13.012314519255357,30833,5034
6198,HIGHLAND STATE BANK,2025-12-31,48221,18370,2.010988424814637,2.160345655304849,0,42236,0,0,5284,484
6271,COMMUNITY NATIONAL BANK,2025-12-31,1286848,955345,1.124496745014024,0.77509030128026,0.0415308481442457,1072030,14.131962672833724,14.131962672833724,125522,18182
6275,NATIONAL BANK OF MIDDLEBURY,2025-12-31,556957,350311,0.3722768898242421,0.19765656106023544,0.00428530044812815,505608,16.185020079956665,16.185020079956665,43809,5214
